SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
040,1,2,36,000,New York,New York,19378102,19378087,19402920,19523202,19606981,19691032,19748858,19795791,24833,120282,83779,84051,57826,46933,61414,243118,239923,239873,236966,238831,35134,149739,146894,152580,152921,154974,26280,93379,93029,87293,84045,83857,24096,112765,108440,117292,134010,134160,-24399,-84753,-116322,-109276,-160329,-157992,-303,28012,-7882,8016,-26319,-23832,-1144,-1109,-1368,-11258,100,-13092,585684,586020,584704,582369,578992,575604,574606,12.491252018,12.262810015,12.207894582,12.016564955,12.079055247,7.6934969273,7.5079638651,7.7652781071,7.7546362325,7.8379251767,4.797755091,4.7548461503,4.4426164753,4.2619287224,4.2411300705,5.7937957447,5.542524552,5.9693603338,6.7956578986,6.7852416644,-4.354556562,-5.945384922,-5.561400776,-8.130296509,-7.990562769,1.4392391824,-0.40286037,0.4079595576,-1.334638611,-1.205321104
050,1,2,36,001,New York,Albany County,304204,304208,304069,305010,306419,307776,308729,309381,-139,941,1409,1357,953,652,785,3092,3124,3195,3108,3100,564,2688,2801,2654,2654,2679,221,404,323,541,454,421,277,1275,1282,1393,1586,1580,-634,-720,-153,-493,-867,-1173,-357,555,1129,900,719,407,-3,-18,-43,-84,-220,-176,17024,17067,17220,17567,17701,17661,17659,10.153034335,10.218684426,10.403861966,10.082643288,10.030577082,8.8264412334,9.1621431106,8.6422064654,8.6098247378,8.6683600006,1.326593102,1.0565413155,1.7616555003,1.4728185497,1.3622170811,4.1866490225,4.1934550046,4.5360186911,5.1451326429,5.1123586417,-2.36422533,-0.500466939,-1.605353349,-2.812629257,-3.795440941,1.8224236922,3.6929880657,2.9306653424,2.332503386,1.3169177007
050,1,2,36,003,New York,Allegany County,48946,48923,48951,48825,48258,48026,47781,47462,28,-126,-567,-232,-245,-319,120,540,464,497,462,465,75,471,471,489,447,447,45,69,-7,8,15,18,18,73,65,74,84,84,-26,-242,-643,-325,-312,-375,-8,-169,-578,-251,-228,-291,-9,-26,18,11,-32,-46,4584,4580,4568,4396,4301,4357,4358,11.045655376,9.5588311033,10.32362594,9.6443892409,9.7644971284,9.6342660776,9.703037607,10.157450874,9.3312597201,9.3865165944,1.411389298,-0.144206504,0.1661750654,0.3131295208,0.377980534,1.4932089674,1.3390603916,1.5371193552,1.7535253165,1.7639091587,-4.950090002,-13.24639741,-6.750862033,-6.513094033,-7.874594458,-3.456881034,-11.90733702,-5.213742678,-4.759568716,-6.1106853
050,1,2,36,005,New York,Bronx County,1385108,1385107,1388264,1400221,1415240,1429123,1441757,1455444,3157,11957,15019,13883,12634,13687,5430,22098,21738,21403,21357,21663,2166,8895,8941,9267,9971,10175,3264,13203,12797,12136,11386,11488,3309,16592,15461,16639,19083,19067,-3472,-18241,-13183,-13884,-18236,-15923,-163,-1649,2278,2755,847,3144,56,403,-56,-1008,401,-945,46710,46719,46243,45327,45058,44084,44084,15.849466646,15.441876126,15.049415282,14.878364822,14.954433607,6.3798083906,6.351357735,6.5160459477,6.9463021791,7.0240207704,9.4696582553,9.0905183911,8.5333693344,7.9320626428,7.9304128364,11.900368838,10.982926064,11.699631868,13.294181575,13.162359118,-13.08308992,-9.364718602,-9.762467027,-12.7041186,-10.99198847,-1.182721083,1.6182074623,1.9371648415,0.5900629772,2.1703706439
050,1,2,36,007,New York,Broome County,200600,200600,200382,199379,198779,198222,197516,196567,-218,-1003,-600,-557,-706,-949,498,2058,2099,2036,2096,2057,433,2161,2039,2134,2103,2086,65,-103,60,-98,-7,-29,113,479,491,539,621,616,-393,-1295,-1173,-953,-1248,-1653,-280,-816,-682,-414,-627,-1037,-3,-84,22,-45,-72,117,10141,10129,10318,10591,10782,10799,10784,10.296151951,10.543553062,10.256901116,10.592866998,10.439425197,10.811459847,10.242165171,10.750602643,10.628243939,10.586602315,-0.515307896,0.3013878912,-0.493701527,-0.035376941,-0.147177118,2.396431868,2.4663575766,2.7153583996,3.138440079,3.1262449788,-6.478871125,-5.892133274,-4.800995463,-6.307203251,-8.389095698,-4.082439257,-3.425775697,-2.085637064,-3.168763172,-5.262850719
050,1,2,36,009,New York,Cattaraugus County,80317,80354,80260,79851,79383,79016,78638,77922,-94,-409,-468,-367,-378,-716,262,934,930,909,900,896,258,832,805,808,792,812,4,102,125,101,108,84,7,51,56,61,70,70,-104,-536,-652,-488,-532,-792,-97,-485,-596,-427,-462,-722,-1,-26,3,-41,-24,-78,2679,2662,2677,2598,2592,2597,2599,11.666906084,11.680922416,11.477345185,11.417407741,11.446090956,10.392790002,10.110905962,10.202084609,10.047318812,10.373019928,1.274116082,1.5700164538,1.2752605761,1.3700889289,1.0730710271,0.637058041,0.7033673713,0.7702068826,0.8880206021,0.8942258559,-6.695355097,-8.189205823,-6.161655061,-6.748956576,-10.11752683,-6.058297056,-7.485838452,-5.391448178,-5.860935974,-9.223300971
050,1,2,36,011,New York,Cayuga County,80026,80020,79858,79831,79653,79255,78836,78288,-162,-27,-178,-398,-419,-548,216,820,792,796,732,736,204,740,737,775,707,689,12,80,55,21,25,47,9,59,66,69,79,79,-171,-178,-294,-484,-520,-508,-162,-119,-228,-415,-441,-429,-12,12,-5,-4,-3,-166,4245,4173,4165,4258,3982,4150,4121,10.269962239,9.9320307993,10.018375412,9.2604892119,9.3683969349,9.2680147036,9.2423064383,9.7540715382,8.9442156733,8.7701433263,1.0019475355,0.6897243611,0.2643038739,0.3162735387,0.5982536086,0.7389363074,0.8276692333,0.8684270144,0.9994243822,1.0055752145,-2.229333267,-3.686890221,-6.091574999,-6.578489604,-6.466230493,-1.490396959,-2.859220988,-5.223147985,-5.579065222,-5.460655279
050,1,2,36,013,New York,Chautauqua County,134905,134894,134750,134264,133424,132991,131773,130779,-144,-486,-840,-433,-1218,-994,311,1387,1409,1393,1344,1342,392,1498,1411,1404,1336,1360,-81,-111,-2,-11,8,-18,28,205,205,205,241,241,-88,-510,-1065,-572,-1426,-1189,-60,-305,-860,-367,-1185,-948,-3,-70,22,-55,-41,-28,6514,6547,6624,6423,6295,6166,6117,10.311730988,10.527180897,10.457369142,10.152437643,10.222736829,11.136966849,10.542123666,10.539947075,10.092006466,10.359852524,-0.825235861,-0.014942769,-0.082577933,0.0604311764,-0.137115695,1.5240842484,1.5316338424,1.5389523863,1.8204891904,1.8358268076,-3.791624228,-7.957024596,-4.294052512,-10.7718572,-9.05725342,-2.267539979,-6.425390753,-2.755100126,-8.951368011,-7.221426613
050,1,2,36,015,New York,Chemung County,88830,88842,88969,88997,89277,88523,87469,87071,127,28,280,-754,-1054,-398,254,1023,1049,1023,907,920,197,970,916,927,878,921,57,53,133,96,29,-1,19,78,86,97,110,110,57,-42,66,-996,-1218,-433,76,36,152,-899,-1108,-323,-6,-61,-5,49,25,-74,4916,5003,4977,4988,4855,4593,4569,11.496577998,11.768401449,11.507311586,10.307286695,10.541996104,10.90095861,10.276316232,10.427446569,9.9777262603,10.553454795,0.595619388,1.4920852171,1.0798650169,0.3295604346,-0.011458691,0.8765719295,0.9648069825,1.0911136108,1.2500568208,1.2604560559,-0.47200027,0.7404332656,-11.20359955,-13.84153825,-4.961613384,0.4045716598,1.7052402482,-10.11248594,-12.59148143,-3.701157328
050,1,2,36,017,New York,Chenango County,50477,50478,50344,50219,49872,49479,49333,48844,-134,-125,-347,-393,-146,-489,107,535,505,536,504,500,165,527,545,544,544,542,-58,8,-40,-8,-40,-42,2,8,9,9,11,11,-68,-179,-314,-403,-97,-451,-66,-171,-305,-394,-86,-440,-10,38,-2,9,-20,-7,796,805,802,780,796,793,793,10.640096258,10.090817356,10.790027277,10.201190139,10.185685038,10.480992015,10.890090018,10.95107246,11.010808404,11.041282581,0.1591042431,-0.799272662,-0.161045183,-0.809618265,-0.855597543,0.1591042431,0.1798363489,0.1811758311,0.2226450229,0.2240850708,-3.55995744,-6.274290396,-8.112651106,-1.963324293,-9.187487904,-3.400853197,-6.094454047,-7.931475275,-1.74067927,-8.963402834
