SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
040,3,5,37,000,North Carolina,North Carolina,9535483,9535692,9558979,9651025,9747021,9845432,9940387,10042802,23287,92046,95996,98411,94955,102415,29914,121043,119567,119385,119926,120676,18680,79938,79503,84312,84610,85357,11234,41105,40064,35073,35316,35319,5097,18006,23515,21660,23531,25066,6944,30572,31760,38379,34337,38197,12041,48578,55275,60039,57868,63263,12,2363,657,3299,1771,3833,257464,257696,255166,254086,253921,252548,252683,12.602079625,12.327736515,12.186835411,12.122419598,12.077751954,8.3225386106,8.1970111835,8.6065792783,8.5525901152,8.5428807184,4.2795410142,4.1307253318,3.5802561323,3.5698294824,3.534871236,1.8746482302,2.4244710008,2.2110554508,2.3785722491,2.5087086951,3.1829248968,3.2745566229,3.9177330169,3.4708697173,3.8229133498,5.057573127,5.6990276237,6.1287884677,5.8494419665,6.3316220449
050,3,5,37,001,North Carolina,Alamance County,151131,151241,151581,152947,153822,154886,156357,158276,340,1366,875,1064,1471,1919,479,1760,1704,1797,1747,1784,389,1456,1495,1589,1582,1535,90,304,209,208,165,249,37,196,193,221,254,257,214,883,501,538,996,1268,251,1079,694,759,1250,1525,-1,-17,-28,97,56,145,4229,4229,4265,4152,4293,4599,4599,11.558871434,11.109336341,11.642069528,11.225955283,11.340196356,9.5623390953,9.7467475527,10.294517797,10.165690473,9.7573998913,1.9965323386,1.3625887883,1.3475517317,1.0602648092,1.5827964645,1.2872379551,1.258275771,1.431773715,1.6321652214,1.6336493629,5.7991383387,3.2663013538,3.485494383,6.400143939,8.0601844053,7.0863762938,4.5245771248,4.917268098,8.0323091604,9.6938337682
050,3,5,37,003,North Carolina,Alexander County,37198,37193,37247,37118,36976,37006,37364,37325,54,-129,-142,30,358,-39,80,352,363,374,347,358,57,331,365,364,343,363,23,21,-2,10,4,-5,5,10,6,7,10,10,31,-187,-150,-6,205,-40,36,-177,-144,1,215,-30,-5,27,4,19,139,-4,1161,1161,1160,1216,1275,1325,1326,9.4668190681,9.79836424,10.110567435,9.3317197795,9.5864183481,8.9020372487,9.8523497179,9.8402314076,9.2241495227,9.7203068725,0.5647818194,-0.053985478,0.2703360277,0.1075702568,-0.133888524,0.2689437235,0.1619564337,0.1892352194,0.2689256421,0.2677770488,-5.02924763,-4.048910843,-0.162201617,5.5129756622,-1.071108195,-4.760303906,-3.886954409,0.0270336028,5.7819013043,-0.803331146
050,3,5,37,005,North Carolina,Alleghany County,11155,11155,11145,11025,10927,10889,10878,10837,-10,-120,-98,-38,-11,-41,25,93,84,87,97,95,48,135,122,114,112,130,-23,-42,-38,-27,-15,-35,2,5,3,4,9,9,11,-77,-62,-18,6,-9,13,-72,-59,-14,15,0,0,-6,-1,3,-11,-6,111,111,110,110,110,110,110,8.3897158322,7.6530612245,7.9757975798,8.91257408,8.7497121805,12.178619756,11.11516035,10.451045105,10.290807185,11.973290352,-3.788903924,-3.462099125,-2.475247525,-1.378233105,-3.223578172,0.451059991,0.2733236152,0.366703337,0.8269398631,0.8289201013,-6.946323861,-5.648688047,-1.650165017,0.5512932421,-0.828920101,-6.49526387,-5.375364431,-1.28346168,1.3782331052,0
050,3,5,37,007,North Carolina,Anson County,26948,26948,26873,26517,26321,25958,26122,25759,-75,-356,-196,-363,164,-363,59,280,253,266,246,253,97,302,272,294,293,276,-38,-22,-19,-28,-47,-23,6,12,6,8,10,10,-43,-361,-187,-347,174,-319,-37,-349,-181,-339,184,-309,0,15,4,4,27,-31,2484,2484,2483,2472,2326,2754,2748,10.488855591,9.5764411976,10.176170164,9.4470046083,9.7530887994,11.312979959,10.295620576,11.247345971,11.251920123,10.639733236,-0.824124368,-0.719179378,-1.071175807,-1.804915515,-0.886644436,0.4495223825,0.2271092774,0.3060502305,0.3840245776,0.385497581,-13.52313167,-7.078239146,-13.27492875,6.6820276498,-12.29737283,-13.07360929,-6.851129869,-12.96887852,7.0660522273,-11.91187525
050,3,5,37,009,North Carolina,Ashe County,27281,27281,27251,27172,27147,27131,27101,27020,-30,-79,-25,-16,-30,-81,63,251,247,253,224,233,102,329,318,327,336,348,-39,-78,-71,-74,-112,-115,9,32,21,23,31,31,6,-85,30,15,57,4,15,-53,51,38,88,35,-6,52,-5,20,-6,-1,369,369,365,374,367,377,379,9.2240413061,9.0944236823,9.3223773905,8.2608054285,8.6103360987,12.090476453,11.708610247,12.049080659,12.391208143,12.8600728,-2.866435147,-2.614186565,-2.726703268,-4.130402714,-4.249736701,1.1759733936,0.7732101106,0.8474888537,1.1432364656,1.1455811977,-3.123679327,1.1045858723,0.552710122,2.1020799528,0.1478169287,-1.947705933,1.877795983,1.4001989756,3.2453164184,1.2933981264
050,3,5,37,011,North Carolina,Avery County,17797,17795,17730,17761,17619,17679,17726,17689,-65,31,-142,60,47,-37,37,176,131,141,136,135,54,194,189,184,168,189,-17,-18,-58,-43,-32,-54,2,4,4,5,8,8,-42,31,-90,111,74,-6,-40,35,-86,116,82,2,-8,14,2,-13,-3,15,2414,2414,2485,2452,2490,2524,2521,9.9180073822,7.4053137366,7.9891211967,7.682530716,7.623888183,10.932349046,10.684002261,10.425519859,9.4901850021,10.673443456,-1.014341664,-3.278688525,-2.436398663,-1.807654286,-3.049555273,0.2254092587,0.22611645,0.2833021701,0.4519135715,0.4517859664,1.7469217548,-5.087620124,6.2893081761,4.1802005366,-0.338839475,1.9723310135,-4.861503674,6.5726103462,4.6321141082,0.1129464916
050,3,5,37,013,North Carolina,Beaufort County,47759,47773,47781,47692,47507,47440,47513,47651,8,-89,-185,-67,73,138,143,511,498,511,455,474,115,535,544,547,600,585,28,-24,-46,-36,-145,-111,9,40,23,26,33,38,-21,-102,-164,-78,203,185,-12,-62,-141,-52,236,223,-8,-3,2,21,-18,26,503,503,506,512,512,515,515,10.704597111,10.462294772,10.76389986,9.5836887723,9.9617502417,11.207357054,11.428691478,11.522217658,12.637831348,12.294565172,-0.502759943,-0.966396706,-0.758317798,-3.054142576,-2.33281493,0.8379332377,0.4831983529,0.5476739655,0.6950807241,0.7986213274,-2.136729756,-3.445414343,-1.643021896,4.2757996061,3.8880248834,-1.298796518,-2.96221599,-1.095347931,4.9708803303,4.6866462108
050,3,5,37,015,North Carolina,Bertie County,21282,21293,21251,20971,20589,20427,20406,20199,-42,-280,-382,-162,-21,-207,49,195,193,182,167,171,33,266,223,257,256,259,16,-71,-30,-75,-89,-88,0,3,3,3,4,5,-50,-272,-359,-102,76,-131,-50,-269,-356,-99,80,-126,-8,60,4,12,-12,7,1324,1324,1338,1258,1336,1636,1636,9.2368907205,9.2877767084,8.8745855276,8.1796586095,8.4226080532,12.600066316,10.73147257,12.531694948,12.538877868,12.757049624,-3.363175596,-1.443695861,-3.657109421,-4.359219259,-4.334441571,0.1421060111,0.1443695861,0.1462843768,0.1959199667,0.2462750893,-12.88427834,-17.27622714,-4.973668812,3.7224793672,-6.452407339,-12.74217233,-17.13185756,-4.827384435,3.9183993339,-6.20613225
050,3,5,37,017,North Carolina,Bladen County,35190,35190,35168,35001,34911,34830,34542,34318,-22,-167,-90,-81,-288,-224,89,352,358,353,371,357,120,381,385,362,397,438,-31,-29,-27,-9,-26,-81,9,59,39,45,52,53,8,-228,-105,-128,-290,-170,17,-169,-66,-83,-238,-117,-8,31,3,11,-24,-26,511,511,511,512,500,355,355,10.03292052,10.24144639,10.123170015,10.695958023,10.368864362,10.859496359,11.013845978,10.381267834,11.445539987,12.72146384,-0.826575838,-0.772399588,-0.258097819,-0.749581964,-2.352599477,1.6816542918,1.1156882939,1.2904890954,1.4991639278,1.5393552135,-6.498596246,-3.003776176,-3.670724538,-8.360721905,-4.937554458,-4.816941954,-1.888087882,-2.380235443,-6.861557977,-3.398199245
