destination,shipCount,lat,lon
001        .CANADA,1,37.6075,-82.3272
006        .CANADA,1,37.6075,-82.3272
007        .CANADA,1,37.6075,-82.3272
010        .CANADA,1,37.6075,-82.3272
028        .CANADA,1,37.6075,-82.3272
^_^ LOME ^_^,1,6.137,1.212
\SAMARINDA,1,-0.5,117.15
>>>PADANG,1,-0.949,100.354
>JOSE PANGANIBAN,1,14.29,122.691
AALBORG,4,57.048,9.918
AARHUS,1,56.156,10.21
ABBOT,1,45.1859,-69.4537
ABBOT#,1,45.1859,-69.4537
ABIDJAN,22,5.341,-4.028
ABU DHABI,7,24.466,54.366
ACAJUTLA,3,13.5928,-89.8275
ADELAIDA,1,-34.933,138.6
ADELAIDE,8,-34.933,138.6
ADEN,10,12.779,45.036
AGADIR,3,30.42,-9.598
AIN SUKHNA,4,29.6,32.316
AJACCIO,1,41.9172,8.7345
AL HUDAYDAH,1,14.797,42.954
AL JUBAYL,3,27.004,49.661
AL KHUMS,2,32.65,14.266
ALCOY,1,38.6984,-0.4734
ALCUDIA,1,39.8517,3.1237
ALEX,3,34.9174,-97.7789
ALGIERS,3,36.752,3.041
ALMERIA,2,36.8419,-2.4636
ANACORTES,1,48.5175,-122.6117
ANNABA,7,36.9,7.766
ANTALYA,3,36.912,30.689
ANTOFAGASTA,6,-23.65,-70.4
ANTONINA,5,-25.428,-48.711
ANTWERPEN,4,51.2221,4.3977
AQABA,15,29.526,35.007
ARACAJU,1,-10.911,-37.071
ARICA,2,-18.475,-70.304
ARKHANGELSK,1,64.547,40.548
ASHDOD,10,31.816,34.65
ASHKELON,5,31.666,34.583
ASHTABULA,4,41.8893,-80.7867
ASTRAKHAN,7,46.349,48.049
ASTRAKHAN',1,46.349,48.049
AUCKLAND,3,-36.8523,174.7639
AVILES,8,43.5585,-5.9211
AZOV,3,47.11,39.413
B 2 A,1,-10.4771,121.9882
BAA,1,-10.7263,123.0492
BADE,2,-7.1667,139.5833
BAHIA BLANCA,31,-38.716,-62.283
BAHIA_BLANCA,3,-38.716,-62.283
BAHIA.BLANCA,1,-38.716,-62.283
BAIE COMEAU,3,49.216,-68.148
BAIE_COMEAU,1,49.216,-68.148
BAIECOMEAU,2,49.216,-68.148
BAKU,1,40.377,49.892
BALIKPAPAN,9,-1.267,116.828
BALTIYSK,6,54.652,19.909
BANDAR .ABBAS,1,27.186,56.28
BANDAR ABBAS,14,27.186,56.28
BANDAR_ABBAS,1,27.186,56.28
BANDAR-ABBAS,1,27.186,56.28
BANDARABBAS,2,27.186,56.28
BANDIRMA,3,40.352,27.976
BANGKOK,7,13.75,100.516
BANJARMASIN,5,-3.324,114.591
BANJUL,2,13.452,-16.578
BANYUWANGI,4,-8.221,114.364
BAOSHAN,1,46.558,131.424
BARCARENA,2,-1.505,-48.625
