count,country
      5,"ARGENTINA"
     37,"AUSTRALIA"
     15,"BRAZIL"
      5,"BULGARIA"
     56,"CANADA"
      9,"CHILE"
    203,"CHINA"
      1,"GERMANY"
      2,"GREECE"
     21,"HONG KONG/CHINA"
     34,"INDIA"
      6,"INDONESIA"
      6,"ITALY"
      3,"JAPAN"
      1,"LATVIA"
      3,"MALTA"
     11,"MEXICO"
      5,"MYANMAR"
      4,"NAMIBIA"
      3,"NEW ZEALAND"
      5,"PHILIPPINES"
      4,"POLAND"
     22,"RUSSIA"
      2,"SAUDI ARABIA"
      7,"SENEGAL"
    133,"SOUTH AFRICA"
     20,"SOUTH KOREA"
      3,"TURKEY"
     10,"UKRAINE"
      5,"URUGUAY"
    177,"USA"
     22,"VENEZUELA"
     20,"VIETNAM"
      6,"WAITING"
