"RecNum","name","imo","mmsi","callsign","length","width","dwt","grt","nrt","timestamp_position","source_position","lon","lat","speed","course","heading","nav_status","timestamp_voyage","time1","source_voyage","draught","destination","country","eta","time","aisshiptype","shiptype","dimA","dimB","dimC","dimD","type"
"1","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T00:57:24Z","S-AIS",-167.917368333333,50.0011316666667,13.6,89.1,92,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"2","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T09:56:22Z","S-AIS",-164.702843333333,49.9999866666667,13.9,88,89,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"3","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T09:44:04Z","S-AIS",-164.77588,49.9984766666667,13.7,89,89,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"4","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T14:41:18Z","S-AIS",-163.027103333333,49.9998416666667,13.5,91,89,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"5","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T21:11:17Z","S-AIS",-160.774493333333,50.003715,13.1,89.8,91,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"6","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T08:12:23Z","S-AIS",-165.332615,49.995975,14.3,90.5,92,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"7","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T22:42:58Z","S-AIS",-160.251861666667,49.9982516666667,12.8,90.8,90,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"8","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T10:41:15Z","S-AIS",-164.435421666667,50.0037533333333,13.9,90.5,91,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"9","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T12:19:17Z","S-AIS",-163.854105,49.998885,13.7,90.4,90,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
"10","LOCH MELFORT",9658795,372924000,"3FRR3",177,29,33379,21168,NA,"2014-05-31T09:49:57Z","S-AIS",-164.741085,49.9991216666667,13.9,87.9,90,0,"2014-05-27","12:13:07Z","S-AIS",6.1,"ASTORIA","USA","2014-06-05","15:00:00Z","cargo_ships","bulk_carrier",151,26,20,9,"HANDYSIZE"
