count,name
10,"ACHAT"
393,"ACHILLES"
366,"AENEAS"
54,"AEOLIAN SPIRIT"
16,"AEOLOS"
33,"AFRICAN SUNBIRD"
354,"AGIA FILOTHEI"
120,"AGIOSNIKOLAS"
378,"ALAM MANIS"
20,"ALAM PENTING"
16,"ALBANY PIONEER"
185,"ALETHINI"
11,"ALEXANDROS III"
32,"ALIKI"
16,"ALMENDRO"
175,"ALOE"
28,"ALPHA ERA"
123,"ALPHA FAITH"
13,"ALPHA HAPPINESS"
34,"ALTAIR DREAM"
338,"AMANDA"
119,"AMBER HALO"
86,"AMITY"
26,"AM QUEBEC"
95,"AMSTEL FALCON"
57,"AM ZENICA"
28,"ANACAPA LIGHT"
140,"ANANGEL DAWN"
157,"ANANGEL NOBILITY"
99,"ANASTASIA"
106,"ANDALUCIA"
252,"ANDA NO66"
24,"ANDA RAYA"
176,"ANDROS"
80,"ANGARA"
264,"ANIKITOS"
27,"ANNA MARIA"
240,"ANNA S"
8,"AN NING"
208,"AN PING 3"
192,"ANSAC PRIDE"
1,"AN THANG 68"
7,"AOLI 5"
21,"AP DRZIC"
114,"APELLIS"
128,"AP JADRAN"
208,"APPALOOSA"
113,"AQUADONNA"
266,"AQUAGEM"
104,"ARAMIS"
30,"ARISO"
4,"ARISTIMO"
224,"ARTVIN"
121,"AS ELENIA"
225,"ASIA EMERALD III"
135,"ASIAN BLOSSOM"
125,"ASIA PEARL I"
268,"ASIA PEARL V"
237,"ASIA ZIRCON 1"
129,"ASSIMINA"
378,"ASTORIA"
124,"ASTRA"
111,"AS VIRGINIA"
113,"ATHENIAN PHOENIX"
29,"ATHINA"
476,"ATHINA CARRAS"
65,"ATHINA L"
252,"ATLANTIC ALTAMIRA"
372,"ATLANTIC BRIDGE"
77,"ATLANTIC DREAM"
121,"ATLANTIC MAZATLAN"
324,"ATLANTIC MERIDA"
20,"ATLANTIC OASIS"
9,"ATLANTIC PROGRESS"
133,"ATLANTIC SUPERIOR"
48,"ATLANTIC TREASURE"
720,"ATOUT"
8,"AUDAX"
31,"AURILIA"
164,"AURORA BULKER"
42,"AURORA VENUS"
157,"AVENTICUM"
120,"AVLEMON"
351,"AVOCET"
74,"AVRA"
31,"AZUL VICTORIA"
148,"AZUR"
342,"BADRI PRASAD"
24,"BAHIA 1"
70,"BAHRI BULK"
376,"BAKKEDAL"
369,"BALTHAZAR"
8,"BALTIC HARE"
125,"BALTIC K"
360,"BALTIC WIND"
186,"BANOS A"
6,"BAO AN LING"
116,"BAO CHANG"
20,"BAOFENG"
24,"BAOJI"
214,"BEDFORD CASTLE"
212,"BEIHAI"
123,"BEI LUN HAI 10"
176,"BEI LUN HAI 27"
196,"BEILUN SEA LION"
242,"BEKS CENK"
18,"BEKS HALIL"
94,"BERGE APO"
23,"BERGE NEBLINA"
375,"BERGEN TRADER I"
93,"BERGE STAHL"
90,"BERGE YOTEI"
120,"BERNHARD OLDENDORFF"
96,"BEST TRADER"
18,"BEST TRAVELLER"
744,"BEST VISION"
34,"BLACK PEARL"
85,"BLUE LHOTSE"
236,"BLU TIDE"
8,"BOLD VOYAGER"
120,"BONANZA YR"
12,"BRASIL SW"
38,"BRAVERY"
204,"BRILLIANT PIONEER"
91,"BRITANNIA G"
234,"BULK HONDURAS"
544,"BULK JULIANA"
51,"BULK ORION"
3,"BULK PANGAEA"
38,"BULK PATRIOT"
